,LEAD_TYPE_CD,Lead Description,product_nm,PROPOSITION
60,BP095,Cycle 2 Audience 2 Loan Arrears Interstitial,NP - Arrears - Loans,Arrears - Loans (INT)
61,BP096,Cycle 3 Audience 1 and 3 Loan Arrears Interstitial,NP - Arrears - Loans,Arrears - Loans (INT)
62,BP097,Cycle 3 Audience 2 Loan Arrears Interstitial,NP - Arrears - Loans,Arrears - Loans (INT)
63,BP098,REMO GT 18 Payments,Mortgages Application,Mortgage Remortgage Acquisitio
64,BP103,OCF Super Prime Interstitial HAL,Car Finance,Asset Finance Car Loan - Acquisition - (Interstitial)
65,BP105,OCF Comparison Tool Lead INT,Car Finance,Asset Finance Car Loan - Acqui
66,BP106,STL Comparison Tool Lead INT,Car Finance,Structured Lending Car Loan - 
67,BP112,OCF Super Prime LTB INT,Car Finance,Asset Finance Car Loan - Acquisition - (Interstitial)
68,BPINT,Fully Personalised FRED,,Credit Card Balance Transfer (Interstitial)
69,BT019,Bank Led Non Timely BT Only,,Credit Card Balance Transfer
70,BT022,Balance Transfer Service Lead,,Credit Card Balance Transfer
71,BT034,Bank Led Non Timely Quad BT MT Offer,,Credit Card Balance Transfer
72,BT067,BB Away Payment - O-P Child 1,,Credit Card Balance Transfer
73,BT082,BB Headroom - O-P Child 1,,Credit Card Balance Transfer
74,BT094,BT into LBG - O-P Child 1,,Credit Card Balance Transfer
75,BT100,Bank Led Timely BT Only Offer,,Credit Card Balance Transfer
76,BZINT,Fully Personalised FRED Mass Affluent,Mortgages Application,Mortgage Remortgage Acquisitio
77,CAINT,Fully Personalised FRED New MA ChildLead,Mortgages Application,Mortgage Remortgage Acquisition (Interstitial)
78,CC004,Customer Led Aligned Acquisition CLOVA,Credit Cards,Card Acquisition - Aligned
79,CC055,Card Acquisition- Travel,Credit Cards,Card Acquisition - Aligned
80,CC058,Credit Card Rotation,NP - CC Service Rotation,CC Service Rotation
81,CC077,CC Acq Cashback IB Child 1 O-P,Credit Cards,Card Acquisition - Aligned
82,CC100,Aligned Acquisition Flattened lead CC001/2 and 16,Credit Cards,Card Acquisition - Aligned
83,CC104,2nd Card cashback offer CC with PCA,Credit Cards,Card Acquisition - Second Card and Trade
84,CC105,2nd Card cashback offer CC no PCA,Credit Cards,Card Acquisition - Second Card and Trade
85,CC106,EMOB BT Lead On Page MBNA,Credit Cards,Credit Card EMOB Spend
86,CC107,EMOB BT Lead on page Heritage,Credit Cards,Credit Card EMOB Spend
87,CC108,contextual cards lead targeting aligned acq aud - not personalised,Credit Cards,Card Acquisition - Aligned
88,CC130,Contextual Card Lead - Personalised - Away Card Payment,Credit Cards,Card Acquisition - Aligned
89,CC133,MCWE Acq LTB Tier E,Credit Cards,MCWE Card Acquisition
90,CC135,MCWE CC IB Acquisition LTB and HAL,Credit Cards,MCWE Card Acquisition
91,CC136,MCWE 2ND Card IB Acquisition,Credit Cards,MCWE Card Acquisition - Second Card
92,CC143,Card Acq OP Bau,Credit Cards,Card Acquisition - Aligned
93,CC144,Card Acq OP PERSO,Credit Cards,Card Acquisition - Aligned
94,CC145,2nd Card OP Bau,Credit Cards,Card Acquisition - Second Card and Trade
95,CC146,2nd Card OP PERSO,Credit Cards,Card Acquisition - Second Card and Trade
96,CC147,P1 Message Us - Credit Card Virtual Assistant Test,Credit Cards,Digital Service Leads - Setting up a Direct Debit to pay Credit Card
97,CC149,CC Trades IB - On Page ,Credit Cards,Card Acquisition - Trade
98,CCINT,Child Lead Payment change increase- potential SVR with Mass Aff,Mortgages Application,Mortgage Remortgage Acquisition (Interstitial)
99,CEINT,Child Lead Dormant SVR with Mass Aff,Mortgages Application,Mortgage Remortgage Acquisition (Interstitial)
100,CFA02,CC Cycle 1 Arrears Not vulnerable,Credit Cards,Arrears - Credit Cards
101,CFA03,CC Cycle 1 Arrears Vulnerable,Credit Cards,Arrears - Credit Cards
102,CFA04,CC Cycle 2 Arrears Not vulnerable,Credit Cards,Arrears - Credit Cards
103,CFA05,CC Cycle 2 Arrears vulnerable,Credit Cards,Arrears - Credit Cards
104,CFA06,Cycles 3-5 CC Arrears Non-Vulnerable,Credit Cards,Arrears - Credit Cards
105,CFA07,Cycles 3-5 CC Arrears Vulnerable,Credit Cards,Arrears - Credit Cards
106,CFA14,Cycle 1 Audience 1 and 3 Loan Arrears On Page,NP - Arrears - Loans,Arrears - Loans
107,CFA15,Cycle 1 Audience 2 Loan Arrears On Page,NP - Arrears - Loans,Arrears - Loans
108,CFA16,Cycle 2 Audience 1 and 3 Loan Arrears On Page,NP - Arrears - Loans,Arrears - Loans
109,CFA17,Cycle 2 Audience 2 Loan Arrears On Page,NP - Arrears - Loans,Arrears - Loans
110,CFA18,Cycle 3 Audience 1 and 3 Loan Arrears On Page,NP - Arrears - Loans,Arrears - Loans
111,CFA19,Cycle 3 Audience 2 Loan Arrears On Page,NP - Arrears - Loans,Arrears - Loans
112,COV08,Self Service Tool - Arrears,NP - Arrears - Mortgages,Self Service Tool - Arrears
113,CTC03,Cards contextual control,Credit Cards,Card Acquisition - Aligned
114,CTC06,Contextual Loan Acq control message,Loans - New,Loan Acquisition - Aligned
115,CTC08,Contextual Lead - Declined Loans into OCF ,Car Finance,Asset Finance Car Loan - Acquisition
116,CW001,Credit Worthiness Engagement App,NP - Credit Worthiness,Credit Worthiness
117,CW033,Customers who have registered for the service for 365 days and have been active in the past 90 days,NP - Credit Worthiness,Credit Worthiness
118,CW034,Customers who have registered for the service for 365 days and have been inactive in the past 90 day,NP - Credit Worthiness,Credit Worthiness
119,CW035,On Page NMI / Service Lead just for if registered for service for 365 days,NP - Credit Worthiness,Credit Worthiness
120,CW036,Credit Card Declines Contextual - CWR non reg,Credit Cards,Credit Worthiness
121,CW037,Credit Card Declines Contextual - CWR registered,Credit Cards,Credit Worthiness
122,CW041,Customers that have have been active in last 90 days for 90 day IB asset (Credit worthiness),NP - Credit Worthiness,Credit Worthiness
123,CW042,Customers that have have been inactive in last 90 days for 90 day IB asset (Credit worthiness),NP - Credit Worthiness,Credit Worthiness
124,CW043,NMI Customers that have agreed to IB service for 90 day IB asset (Credit worthiness),NP - Credit Worthiness,Credit Worthiness
125,CWR02,Credit Worthiness - Credit Cards,Credit Cards,Card Acquisition - Aligned
126,CWR03,Credit Worthiness - Loans,Loans - New,Loan Refinance (Hyperlink)
127,CWR07,OCF Creditworthiness ,Car Finance,Asset Finance Car Loan - Acquisition
128,CWR08,Credit Worthiness - Mortgage FTB  Likely,Mortgages Application,Mortgage First Time Buyer Acquisition
129,CWR09,Credit Worthiness - Mortgage FAD Likely,Mortgages Application,Mortgage Further Advance Acquisition
130,CWR10,Credit Worthiness - Mortgage Remo Likely,Mortgages Application,Mortgage Remortgage Acquisition
131,DSE27,CiFD - Pre arrears 1+ fees,NP - Pre Arrears,Customers In Financial Difficu
132,DSE47,Cards Hub Awareness,NP - Cards Hub Awareness,Cards Hub Awareness
133,DSE57,CiFD - Pre arrears 1+ fees,NP - Pre Arrears,Customers In Financial Difficu
134,FLM01,Mortgage Acquisition - Lend A Hand (Borrower),Mortgages Application,Mortgage Acquisition - Lend a Hand
135,FLM05,Family Boost Mort Acq Borrower,Mortgages Application,Mortgage Acquisition - Lend a Hand
136,HF002,Mortgage FTB Association,Mortgages Application,Mortgage First Time Buyer Association
137,HF004,Mortgage FTB Conversion,Mortgages Application,Mortgage First Time Buyer Acqu
138,HF012,Club Lloyds FA Acquisition,Mortgages Application,Mortgage Further Advance Acquisition
139,HF025,Customer Led Remortgage Acquisition,Mortgages Application,Mortgage Remortgage Acquisition
140,HF031,Club Lloyds Remortgage Acquisition,Mortgages Application,Mortgage Remortgage Acquisition
141,HF050,MTG Further Advance Trigger CL,Mortgages Application,Mortgage Further Advance Acquisition
142,HF064,Remortgage Opp- Potential SVR,Mortgages Application,Mortgage Remortgage Acquisition
143,HF067,Halifax mortgage prize draw eligible customers,Mortgages Prize Draw,Mortgage Prize Draw - New & Existing Customers
144,HF068,Halifax mortgage prize draw potentially eligible customers,Mortgages Prize Draw,Mortgage Prize Draw - New & Existing Customers
145,HF071,FTB Awareness Lead,Mortgages Application,Mortgage First Time Buyer Awareness
146,HF072,Remo Awareness Lead,Mortgages Application,Mortgage REMO Awareness
147,HF084,FAD Awareness Lead,Mortgages Application,Mortgage FAD Awareness
148,HF095,Fully Personalised Recent SVR,Mortgages Application,Mortgage Remortgage Acquisition
149,HF098,Fully Personalised Dormant SVR,Mortgages Application,Mortgage Remortgage Acquisition
150,HF100,Remo- Dormant SVR and Dormant SVR Always on,Mortgages Application,Mortgage Remortgage Acquisitio
151,HF101,Customer Led FA Acquisition CLOVA,Mortgages Application,Mortgage Further Advance Acquisition
152,HF103,Fully Personalised FRED,Mortgages Application,Mortgage Remortgage Acquisition
153,HF122,Mortgage FTB Conversion Personalised,Mortgages Application,Mortgage First Time Buyer Acquisition
154,HF123,Mortgage FTB Conversion Personalised,Mortgages Application,Mortgage First Time Buyer Acquisition
155,HF124,Mortgage FTB Conversion Personalised,Mortgages Application,Mortgage First Time Buyer Acquisition
156,HF125,Mortgage FTB Conversion Personalised,Mortgages Application,Mortgage First Time Buyer Acquisition
157,HF134,Land Registry Rem Non-Aligned,Mortgages Application,Mortgage Remo Non-aligned
158,HF135,Rem Non-Aligned - Online Mortgage Interest,Mortgages Application,Mortgage Remo Non-aligned
159,HF153,Remo Awareness - Child 1,Mortgages Application,Mortgage REMO Awareness
160,HF154,Remo Awareness - Child 2,Mortgages Application,Mortgage REMO Awareness
161,HF157,FTB NMI IB Lead ,Mortgages Application,Mortgage First Time Buyer Awareness
162,HF157,FTB NMI IB Lead ,Mortgages Application,Mortgage First Time Buyer Awareness
163,HF159,Customer Led Remortgage Acquisition New Mass Affluent,Mortgages Application,Mortgage Remortgage Acquisitio
164,HF161,Mortgage FTB Conversion Personalised,Mortgages Application,Mortgage First Time Buyer Acquisition
165,HF162,Land Registry Rem Non-Aligned,Mortgages Application,Mortgage Remo Non-aligned
166,HF167,Fully Personalised FRED Mass Affluent,Mortgages Application,Mortgage Remortgage Acquisitio
167,HF178,Customer Led Remortgage Acq New MA ChildLead,Mortgages Application,Mortgage Remortgage Acquisition
168,HF179,Fully Personalised FRED New MA ChildLead,Mortgages Application,Mortgage Remortgage Acquisition
169,HF206,Child Lead Recent/Potential SVR with Mass Aff,Mortgages Application,Mortgage Remortgage Acquisition
170,HF208,"Child Lead Dormant SVLast Event- Payment Up,  >4 payments with Mass Aff",Mortgages Application,Mortgage Remortgage Acquisition
171,HF209,Copy of HF123 Digital Asking Dismiss,Mortgages Application,Mortgage First Time Buyer Acquisition
172,HF210,Copy of HF134 Digital Asking Dismiss,Mortgages Application,Mortgage Remo Non-aligned
173,HF211,Remo Home Improvements,Mortgages Application,Mortgage Remortgage Acquisition
174,HF212,FAD Home Improvements,Mortgages Application,Mortgage FAD Awareness
175,HF219,REMO GT 18 Payments,Mortgages Application,Mortgage Remortgage Acquisition
176,I0INT,ISA Help To Buy Service Interstitial,Mortgages Application,Mortgage Acquisition - Help to Buy (Interstitial)
177,INT02,Mort Cess PT N3M INT SERVICE,Mortgages Application,Mortgage Cessation (Interstitial)
178,INT0N,Follow-up-Mortgages,Mortgages Application,Mortgage First Time Buyer Acqu
179,INT0Z,Follow-up-Mortgages,Mortgages Application,Mortgage Remortgage Acquisitio
180,INT19,Card Acq - Aligned Follow Up,Credit Cards,Card Acquisition - Aligned Follow Up (Interstitial)
181,INT87,Follow-up-Mortgages,Mortgages Application,Mortgage Further Advance Acquisition Follow Up (Interstitial)
182,INTAV,Customer Led Remortgage Acquisition,Mortgages Application,Mortgage Remortgage Acquisition (Interstitial)
183,INTBA,Club Lloyds Remortgage Acquisition,Mortgages Application,Mortgage Remortgage Acquisition (Interstitial)
184,INTBR,Bank Led Activation,Credit Cards,Credit Card Activation following Acquisition (Interstitial)
185,INTFK,Cards BT Follow Up,,Credit Card Balance Transfer Follow Up (Interstitial)
186,INTFU,Clar/Flex Follow-Up,Loans - New,Loan Acquisition - Aligned (Interstitial)
187,INTJH,Virtual card - natural exp,Credit Cards,Virtual Card -  Debit or Credi
188,INTKO,MTG FA Trigger CL INT,Mortgages Application,Mortgage Further Advance Acquisition (Interstitial)
189,INTKR,Loan Refinance Follow Up,Loans - New,Loan Refinance (Interstitial)
190,INTLQ,Card Acquisition- Travel,Credit Cards,Card Acquisition - Aligned (Interstitial)
191,INTLR,DWOW Fin Well Arrears (int),Credit Cards,Customers in Financial Difficu
192,INTLS,DWOW Fin Well Overlimit (int),Credit Cards,Customers in Financial Difficulty - Card Test (INT)
193,INTML,Lending: Non Aligned Loan Acquisition (Inter),Loans - New,Loan Acquisition - Non Aligned (Interstitial)
194,INTNA,Remortgage Opp- Potential SVR,Mortgages Application,Mortgage Remortgage Acquisition (Interstitial)
195,INTNI,Asset Finance Acq Conv INT,Car Finance,Asset Finance Car Loan - Acquisition - (Interstitial)
196,INTNJ,Struct Lend Car Loan Acq INT,Car Finance,Structured Lending Car Loan - Acquisition - (Interstitial)
197,INTNL,Dormant SVR,Mortgages Application,Mortgage Remortgage Acquisition (Interstitial)
198,INTOG,Mort Cess PT INT 3-6M SALES,Mortgages Application,Mortgage Cessation (Interstitial)
199,INTOL,Mort Cess PT 3-6M INT SERVICE,Mortgages Application,Mortgage Cessation (Interstitial)
200,INTOM,Mortgage Cessations IB INT 6M sales,Mortgages Application,Mortgage Cessation (Interstitial)
201,INTON,Larger Loans IB INT,Loans - New,Loan Acquisition - Aligned (Interstitial)
202,INTOO,Larger Loans IB INT,Loans - New,Loan Acquisition - Aligned (In
203,INTOP,Rem Non-Aligned - Online Mortgage Interest INT,Mortgages Application,Mortgage Remo Non-aligned (Interstitial)
204,INTOZ,Cessations IB INT 3M LTB Sales,Mortgages Application,Mortgage Cessation (Interstitial)
205,INTPN,Customers eligible for Mortgage prize draw,Mortgages Prize Draw,Mortgage Prize Draw - New & Existing Customers (Interstitial)
206,INTPO,Customers potentially eligible for Mortgage prize draw,Mortgages Prize Draw,Mortgage Prize Draw - New & Existing Customers (Interstitial)
207,INTPS,Mort Cess PT N3M INT SALES,Mortgages Application,Mortgage Cessation (Interstitial)
208,INTPT,Mort Cess Prod transf LTB INT,Mortgages Application,Mortgage Cessation (Interstitial)
209,INTSI,Structured Lending Acq Big Prompt,Car Finance,Structured Lending Car Loan - Acquisition - (Interstitial)
210,INTSJ,OCF Acq Big Prompt,Car Finance,Asset Finance Car Loan - Acquisition - (Interstitial)
211,INTSK,Asset Finance Car Loan CLOVA REFI INT,Loans - New,Asset Finance Car Loan - REFI - (Interstitial)
212,INTSL,Structured Lending Car Loan CLOVA REFI INT,Car Finance,Structured Lending Car Loan - REFI - (Interstitial)
213,INTSY,Asset Finance Car Loan CLOVA PCH INT,Car Finance,Asset Finance Car Loan - Acquisition - (Interstitial)
214,INTSZ,Structured Lending Car Loan CLOVA PCH INT,Car Finance,Structured Lending Car Loan - Acquisition - (Interstitial)
