,LEAD_TYPE_CD,Lead Description,product_nm,PROPOSITION
279,OCF34,OCF Super Prime LTB On Page,Car Finance,Asset Finance Car Loan - Acquisition
280,OCF50,Asset Finance Car Loan - Acquisition,Car Finance,Asset Finance Car Loan - Acquisition
281,PHL01,Product Hub List Loan and Car Message,Loans - New,Product Hub List Loan and Car Message
282,PHL01,Product Hub List Loan and Car Message,Loans - New,Product Hub List Loan and Car Message
283,PHL02,Product Hub List Credit Card Message,Credit Cards,Product Hub List Credit Card Message
284,PHL02,Product Hub List Credit Card Message,Credit Cards,Product Hub List Credit Card Message
285,PHL04,Product Hub List Mortgages Message,Mortgages Application,Product Hub List Mortgages Message
286,PHL04,Product Hub List Mortgages Message,Mortgages Application,Product Hub List Mortgages Message
287,PL022,Lending: Non Aligned Loan Acquisition,Loans - New,Loan Acquisition - Non Aligned
288,PL086,Loan Refinance IBD rep,Loans - New,Loan Refinance (Hyperlink)
289,PL094,Loan Refinance Follow Up,Loans - New,Loan Refinance
290,PL100,Bank Led Refinance - Loan Refinance,Loans - New,Loan Refinance
291,PL103,Customer Led Aligned Acquisition - Loan Acquisition,Loans - New,Loan Acquisition - Aligned
292,PL104,Cust Led Aligned Acq- CLOVA - Loan Acq,Loans - New,Loan Acquisition - Aligned
293,PL105,Customer Led Super Prime Loan Acquisition,Loans - New,Loan Acquisition - Aligned
294,PL119,Loan Acq Loan Away IB OP Perso,Loans - New,Loan Acquisition - Aligned
295,PL120,Loan Acq Loan Away IB OP Perso,Loans - New,Loan Acquisition - Aligned
296,PL133,Propensity Only Highly Likely OP,Loans - New,Loan Acquisition - Aligned
297,PL134,Propensity Only BAU OP,Loans - New,Loan Acquisition - Aligned
298,PL135,Propensity Only Super Prime OP,Loans - New,Loan Acquisition - Aligned
299,PL136,Customer led aligned loan acq for loan slider test,Loans - New,Loan Acquisition - Aligned
300,PL137,Customer led aligned loan acq for loan slider control,Loans - New,Loan Acquisition - Aligned
301,PL200,Lending Loan Refinance,Loans - New,Loan Refinance
302,PL203,Lending Loan Refinance,Loans - New,Loan Refinance
303,PL206,Lending Loan Refinance,Loans - New,Loan Refinance
304,PL212,Lending Loan Acquisition,Loans - New,Loan Acquisition - Aligned
305,PL230,Contextual Loan Acq Lead - Not Personalised,Loans - New,Loan Acquisition - Aligned
306,PL234,Larger Loans IB On Page,Loans - New,Loan Acquisition - Aligned
307,PL235,Larger Loans IB On Page,Loans - New,Loan Acquisition - Aligned
308,PL237,Super Prime ON PAGE Child 1 BAU,Loans - New,Loan Acquisition - Aligned
309,PL239,Highly Likely ON PAGE Child 1 BAU,Loans - New,Loan Acquisition - Aligned
310,PL241,Loan Eligible ON PAGE Child 1 BAU,Loans - New,Loan Acquisition - Aligned
311,PL242,Super Prime ON PAGE Child 2 PERSO,Loans - New,Loan Acquisition - Aligned
312,PL243,Highly Likely ON PAGE Child 2 PERSO,Loans - New,Loan Acquisition - Aligned
313,PL244,Loan Eligible ON PAGE Child 2 PERSO,Loans - New,Loan Acquisition - Aligned
314,PL247,Copy of PL105 Digital Asking Dismiss,Loans - New,Loan Acquisition - Aligned
315,PL250,MBNA 2nd Loan,Loans - New,Loan Refinance
316,PL252,Loan Retargeting Child 1 BAU,Loans - New,Loan Acquisition - Aligned
317,PL253,Loan Retargeting Child 2 PERSO,Loans - New,Loan Acquisition - Aligned
318,PLS01,Product Hub List Loan and Car Static msg,Loans - New,Product Hub List Loan and Car Message
319,PLS01,Product Hub List Loan and Car Static msg,Loans - New,Product Hub List Loan and Car Message
320,PLS02,Product Hub List Credit Card Static msg,Credit Cards,Product Hub List Credit Card Message
321,PLS02,Product Hub List Credit Card Static msg,Credit Cards,Product Hub List Credit Card Message
322,PLS04,Product Hub List Mortgages Static msg,Mortgages Application,Product Hub List Mortgages Message
323,PLS04,Product Hub List Mortgages Static msg,Mortgages Application,Product Hub List Mortgages Message
324,QL017,QL Customers in financial difficulty,NP - Arrears - Mortgages,Self Service Tool - Arrears
325,STL04,Structured Lending Car Loan,Car Finance,Structured Lending Car Loan - Acquisition
326,STL08,Structured Lending Car Loan,Car Finance,Structured Lending REFI
327,STL08,Structured Lending Car Loan,Car Finance,Structured Lending REFI
328,STL10,Struct Lend Car Loan Refi IB OP,Car Finance,Structured Lending REFI
329,STL10,Struct Lend Car Loan Refi IB OP,Car Finance,Structured Lending REFI
330,STL16,Contextual Loan OCF Lead,Car Finance,Structured Lending Car Loan - 
331,STL27,Structured Lending Car Loan CLOVA REFI,Car Finance,Structured Lending REFI
332,STL28,Structured Lending Car Loan CLOVA PCH IB,Car Finance,Structured Lending Car Loan - Acquisition
333,STL33,STL Comparison Tool Lead On Page,Car Finance,Structured Lending Car Loan - 
334,STL50,Structured Lending Car Loan - Acq,Car Finance,Structured Lending Car Loan - Acquisition
335,STL51,STRUCTURED LENDING DIGITAL LEAD PCH,Car Finance,Structured Lending Car Loan - Acquisition
336,STL52,STRUCTURED LENDING DIGITAL LEAD REVIEW Loans Segment - Loans Creative,Car Finance,Structured Lending Car Loan - 
337,STL53,STRUCTURED LENDING DIGITAL LEAD REVIEW 3 Ways To Pay - 3WTP v OCF v Loans,Car Finance,Structured Lending Car Loan - 
338,STL54,STRUCTURED LENDING DIGITAL LEAD REVIEW 20 percent Control group STL50 creative,Car Finance,Structured Lending Car Loan - 
339,SV114,ISA Help To Buy Service Onpage,Mortgages Application,Mortgage Acquisition - Help to Buy
340,SV114,ISA Help To Buy Service Onpage,Mortgages Application,Mortgage Acquisition - Help to Buy
